URL,size,outgoing links,content-type
https://www.nytimes.com/2017/02/09/arts/dance/dance-in-nyc-this-week.html,68142,105,text/html; charset=utf-8
https://www.nytimes.com/watching/titles/tv-shows/3993,115511,30,text/html; charset=utf-8
https://www.nytimes.com/section/t-magazine/travel,152467,156,text/html; charset=utf-8
https://www.nytimes.com/watching/titles/movies/568812,116217,32,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/arts/dance/dance-in-nyc-this-week.html,67331,105,text/html; charset=utf-8
https://www.nytimes.com/2017/02/07/sports/basketball/cavaliers-lebron-james-warriors-nba-finals.html?rref=collection%2Fcolumn%2FKeeping%20Score,82557,118,text/html; charset=utf-8
https://www.nytimes.com/interactive/2017/01/26/travel/what-to-do-36-hours-in-santiago-chile.html,123166,54,text/html; charset=utf-8
https://www.nytimes.com/2015/12/21/sports/basketball/jordan-kilganon-best-dunk-youtube.html,76938,101,text/html; charset=utf-8
https://www.nytimes.com/2017/02/02/arts/dance/dance-in-nyc-this-week.html,67799,106,text/html; charset=utf-8
https://www.nytimes.com/store/books/tbooks.html,62968,123,text/html; charset=UTF-8
https://www.nytimes.com/2017/02/16/business/yourtaxes/tax-code-republicans.html,91786,125,text/html; charset=utf-8
https://www.nytimes.com/by/a-o-scott,111532,124,text/html; charset=utf-8
https://www.nytimes.com/2017/02/14/t-magazine/fashion/bad-television-hair-beauty.html,144361,106,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/movies/jordan-peele-interview-get-out.html,86339,108,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/insider/the-times-in-the-schools-or-get-them-while-theyre-young.html,89870,118,text/html; charset=utf-8
https://www.nytimes.com/2017/02/12/arts/dance/the-fairys-kiss-review-miami-ballet.html,79603,106,text/html; charset=utf-8
https://www.nytimes.com/2017/02/04/sports/nba-west-golden-state-warriors-best.html?rref=collection%2Fcolumn%2FKeeping%20Score,83781,109,text/html; charset=utf-8
https://www.nytimes.com/interactive/2017/01/12/travel/what-to-do-36-hours-in-charleston-south-carolina.html,122539,70,text/html; charset=utf-8
https://www.nytimes.com/section/sports/basketball,130513,132,text/html; charset=utf-8
